run,encoder,train_dataset,eval_dataset,split,variant,epoch,step,checkpoint,eval_rows,tp,fp,fn,biored_precision,biored_recall,biored_f1,micro_f1_all_classes,macro_f1_all_classes,negative_discrimination_f1
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,8,4176,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-4176,2326,565,475,598,0.5432692307692307,0.4858125537403267,0.5129369042215162,0.6642304385210662,0.3270590334587896,0.7780299591466182
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,8,4176,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-4176,10097,565,1888,598,0.2303302079086832,0.4858125537403267,0.3125,0.7827077349707834,0.2466190429835694,0.4740044247787611
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,9,4698,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-4698,2326,596,490,567,0.5488029465930019,0.5124677558039553,0.5300133392618942,0.674548581255374,0.3455786583288013,0.796798577145398
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,9,4698,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-4698,10097,596,2061,567,0.2243131351147911,0.5124677558039553,0.3120418848167539,0.769436466277112,0.2592747045370788,0.469109947643979
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,10,5220,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-5220,2326,595,512,568,0.5374887082204155,0.5116079105760963,0.5242290748898678,0.6668099742046432,0.3410307185074752,0.7929515418502202
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,10,5220,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-5220,10097,595,2128,568,0.2185089974293059,0.5116079105760963,0.3062274832732887,0.7631969892047142,0.2527287380096605,0.4632012352032938
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,matched_norelation,1,522,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-522,2323,575,528,587,0.5213055303717135,0.4948364888123924,0.5077262693156732,0.6616444253120964,0.3157721672288734,0.7982339955849889
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,full_norelation,1,522,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-522,9068,575,1737,587,0.2487024221453287,0.4948364888123924,0.3310305123776626,0.7799955888839877,0.2602963405601463,0.5204375359815774
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,matched_norelation,2,1044,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1044,2323,694,497,468,0.5827036104114189,0.5972461273666093,0.5898852528686783,0.7055531640120534,0.4161347369075264,0.8287292817679558
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,full_norelation,2,1044,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1044,9068,694,1799,468,0.2783794624949859,0.5972461273666093,0.3797537619699043,0.7809880899867666,0.340225287200324,0.533515731874145
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,matched_norelation,3,1566,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1566,2323,661,428,501,0.6069788797061524,0.5688468158347676,0.5872945357618835,0.7154541541110633,0.4094638525048841,0.8254109284762328
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,full_norelation,3,1566,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1566,9068,661,1414,501,0.3185542168674699,0.5688468158347676,0.4084028421377818,0.8183722981914424,0.3267887289700012,0.5739882607352487
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Dev,matched_norelation,4,2088,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-2088,2323,720,490,442,0.5950413223140496,0.6196213425129088,0.6070826306913996,0.717606543263022,0.6123944621620458,0.8397976391231028
